year,province,share_historical,national_target_mw,target_source,guard_active,allocated_min_total_mw,allocated_max_total_mw,allow_underbuild_only
2055,Qinghai,0.034391868346004224,6712032.385895534,national_capacity_csv,True,0.0,230839.33414983583,True
2055,Shaanxi,0.036010696175974855,6712032.385895534,national_capacity_csv,True,0.0,241704.9589717877,True
2055,Shandong,0.0815441181699867,6712032.385895534,national_capacity_csv,True,0.0,547326.7620362432,True
2055,Shanghai,0.005079616815185156,6712032.385895534,national_capacity_csv,True,0.0,34094.5525714623,True
2055,Shanxi,0.04297850097076331,6712032.385895534,national_capacity_csv,True,0.0,288473.090413006,True
2055,Sichuan,0.0145676725149526,6712032.385895534,national_capacity_csv,True,0.0,97778.6897074821,True
2055,Tianjin,0.008779540718720441,6712032.385895534,national_capacity_csv,True,0.0,58928.56163734016,True
2055,Tibet,0.004790699162938888,6712032.385895534,national_capacity_csv,True,0.0,32155.327932728444,True
2055,Xinjiang,0.07108263222649722,6712032.385895534,national_capacity_csv,True,0.0,477108.9295789509,True
2055,Yunnan,0.046232158223752054,6712032.385895534,national_capacity_csv,True,0.0,310311.74326767033,True
2055,Zhejiang,0.05427740361707121,6712032.385895534,national_capacity_csv,True,0.0,364311.6909001054,True
2060,Anhui,0.04834347952862863,6971880.936369035,national_capacity_csv,True,0.0,337044.98332339263,True
2060,Beijing,0.001711281478689434,6971880.936369035,national_capacity_csv,True,0.0,11930.85071803628,True
2060,Chongqing,0.004786254275981254,6971880.936369035,national_capacity_csv,True,0.0,33369.19494332848,True
2060,Fujian,0.014522334667984724,6971880.936369035,national_capacity_csv,True,0.0,101247.98822329384,True
2060,Gansu,0.03243078422029571,6971880.936369035,national_capacity_csv,True,0.0,226103.56625697738,True
2060,Guangdong,0.052351878587023774,6971880.936369035,national_capacity_csv,True,0.0,364991.06430397736,True
2060,Guangxi,0.02629861817354261,6971880.936369035,national_capacity_csv,True,0.0,183350.83469696998,True
2060,Guizhou,0.024609561129641352,6971880.936369035,national_capacity_csv,True,0.0,171574.93009215497,True
2060,Hainan,0.008425727716892704,6971880.936369035,national_capacity_csv,True,0.0,58743.17044444044,True
2060,Hebei,0.07247032593467083,6971880.936369035,national_capacity_csv,True,0.0,505254.48383638205,True
2060,Heilongjiang,0.007676319775835461,6971880.936369035,national_capacity_csv,True,0.0,53518.387506619874,True
2060,Henan,0.046738875336922434,6971880.936369035,national_capacity_csv,True,0.0,325857.87394881836,True
2060,Hubei,0.03878163870536445,6971880.936369035,national_capacity_csv,True,0.0,270380.9675710819,True
2060,Hunan,0.02326542731365256,6971880.936369035,national_capacity_csv,True,0.0,162203.78916453375,True
2060,InnerMongolia,0.0452551720704639,6971880.936369035,national_capacity_csv,True,0.0,315513.6714301677,True
2060,Jiangsu,0.07655428807134577,6971880.936369035,national_capacity_csv,True,0.0,533727.3816019191,True
2060,Jiangxi,0.024987376521040317,6971880.936369035,national_capacity_csv,True,0.0,174209.01401691622,True
2060,Jilin,0.006233509469387175,6971880.936369035,national_capacity_csv,True,0.0,43459.28583629631,True
2060,Liaoning,0.013437782250321809,6971880.936369035,national_capacity_csv,True,0.0,93686.61789809681,True
2060,Ningxia,0.031384457830468455,6971880.936369035,national_capacity_csv,True,0.0,218808.70324652092,True
2060,Qinghai,0.034391868346004224,6971880.936369035,national_capacity_csv,True,0.0,239776.01128762052,True
2060,Shaanxi,0.036010696175974855,6971880.936369035,national_capacity_csv,True,0.0,251062.28617465642,True
2060,Shandong,0.0815441181699867,6971880.936369035,national_capacity_csv,True,0.0,568515.8829423542,True
2060,Shanghai,0.005079616815185156,6971880.936369035,national_capacity_csv,True,0.0,35414.48363784898,True
2060,Shanxi,0.04297850097076331,6971880.936369035,national_capacity_csv,True,0.0,299640.99159178283,True
2060,Sichuan,0.0145676725149526,6971880.936369035,national_capacity_csv,True,0.0,101564.07829426519,True
2060,Tianjin,0.008779540718720441,6971880.936369035,national_capacity_csv,True,0.0,61209.91256692274,True
2060,Tibet,0.004790699162938888,6971880.936369035,national_capacity_csv,True,0.0,33400.18416597273,True
2060,Xinjiang,0.07108263222649722,6971880.936369035,national_capacity_csv,True,0.0,495579.6485268472,True
2060,Yunnan,0.046232158223752054,6971880.936369035,national_capacity_csv,True,0.0,322325.1025673739,True
2060,Zhejiang,0.05427740361707121,6971880.936369035,national_capacity_csv,True,0.0,378415.59555346647,True
